"","cID","dmso_rates","plx_rates"
"1",1,0.0294170310461394,-0.00432061766144667
"2",3,0.0373162465555483,-0.037429774505374
"3",4,0.0336962282775042,0.00467878922576954
"4",5,0.0342775060659608,-0.00943928264724231
"5",6,0.0298792144947371,0.00212405430445401
"6",7,0.0369175799804925,0.0164726187301546
"7",9,0.032733499290608,0.00500768354337839
"8",10,0.0288468295324366,-0.00252884071354853
"9",11,0.0404396824192989,0.0106164711994729
"10",12,0.0308978261905881,0.00432593356705215
"11",13,0.0243938074798273,-0.001236497086702
"12",14,0.0318109306955662,-0.00417499383781547
"13",15,0.0325594109455764,0.00370531659214815
"14",16,0.0360350061292067,0.00492760706146406
"15",17,0.0309470780540058,0.000613152038927976
"16",18,0.0297732513146856,0.00478977892648947
"17",19,0.0390459614775884,-0.000442974911756225
"18",20,0.0283493193828884,-0.00113984771788532
"19",22,0.0369806524350192,-0.00409115000570984
"20",23,0.0239709851896228,0.0103064006666538
"21",24,0.0272177502527201,0.0150864429720338
"22",25,0.0262777917316299,-0.00979535286670953
"23",26,0.0340675012383882,0.0103167677651752
"24",27,0.0310411483908878,-0.00289001862142154
"25",28,0.0316794625010888,-0.00304963710703143
"26",29,0.0304614562831926,0.00190749174165905
"27",30,0.0306461941183419,-0.000563319932191713
"28",31,0.0370971215461033,0.00278681493481497
"29",32,0.0329679618065067,0.00429832326746684
"30",33,0.0287797378015118,0.00656427556771541
"31",34,0.0260457480180451,0.00700782040112403
"32",35,0.034025812323429,0.010128844339376
"33",36,0.0393698606969132,0.00631355545244024
"34",37,0.0388455554952595,0.00987725967608862
"35",38,0.044919025561909,-0.00891099357674554
"36",39,0.0271646273013972,0.00958307796476338
"37",40,0.0285398066421965,0.0131819579667236
"38",41,0.0418166267740302,-0.00398229074784296
"39",42,0.0414771415837662,-0.0131455017965758
"40",44,0.0438316567909913,0.00187037096855391
"41",45,0.02178109154186,0.00986085030588769
"42",46,0.0353959704985048,0.0117371189105738
